date time client_id server_id client_uqid server_uqid tcp_interval tcp_size tcp_speed udp_interval udp_size udp_speed jitter num_lost num_datagrams_sent num_out_of_order
2010-12-12 22:44:31.318771 0 1 i-1488be79 i-1688be7b 0.0-10.0 489586688 391121818 0.0-10.0 12481770 9982323 0.055 4 8490 5
2010-12-12 22:44:56.869138 1 0 i-1688be7b i-1488be79 0.0-10.1 525320192 418148226 0.0-10.0 12481770 9977193 0.025 16 8490 5
2010-12-12 23:19:32.809249 0 1 i-1488be79 i-1688be7b 0.0-10.0 526721024 420616512 0.0-10.0 12502350 9999994 0.026 0 8504 1
2010-12-12 23:20:00.230050 1 0 i-1688be7b i-1488be79 0.0-10.0 487309312 389447953 0.0-10.0 12490590 9981871 0.039 18 8496 19
2010-12-12 23:20:27.839075 0 1 i-1488be79 i-1688be7b 0.0-10.0 491216896 392649855 0.0-10.0 12499410 9982022 0.036 30 8502 31
2010-12-12 23:20:55.746784 1 0 i-1688be7b i-1488be79 0.0-10.0 448626688 358746730 0.0-10.0 12497940 9958742 0.044 10 8501 11
2010-12-12 23:21:23.941481 0 1 i-1488be79 i-1688be7b 0.0-10.0 489570304 391005336 0.0-10.0 12502350 9999996 0.069 2 8504 3
2010-12-12 23:21:51.965089 1 0 i-1688be7b i-1488be79 0.0-10.0 508534784 406573271 0.0-10.0 12481770 9981418 0.052 4 8490 5
2010-12-12 23:22:19.990700 0 1 i-1488be79 i-1688be7b 0.0-10.0 545980416 436316993 0.0-10.0 12486180 9982073 0.038 8 8493 9
2010-12-12 23:22:47.808957 1 0 i-1688be7b i-1488be79 0.0-10.0 699604992 559401607 0.0-10.0 12492060 9985858 0.031 4 8497 5
2010-12-12 23:23:16.006414 0 1 i-1488be79 i-1688be7b 0.0-10.0 552755200 441947653 0.0-10.0 12493530 9981004 0.384 4 8498 5
2010-12-12 23:23:43.501977 1 0 i-1688be7b i-1488be79 0.0-10.0 664379392 531039544 0.0-10.0 12486180 9951374 0.036 9 8493 10
2010-12-12 23:24:09.919434 0 1 i-1488be79 i-1688be7b 0.0-10.0 549036032 439002256 0.0-10.0 12477360 9959652 0.416 28 8487 29
2010-12-12 23:24:35.729316 1 0 i-1688be7b i-1488be79 0.0-10.0 694255616 554904191 0.0-10.0 12489120 9982285 0.044 23 8495 24
2010-12-12 23:25:01.755484 0 1 i-1488be79 i-1688be7b 0.0-10.0 543891456 434933798 0.0-10.0 12493530 9951953 0.024 3 8498 4
2010-12-12 23:25:28.442367 1 0 i-1688be7b i-1488be79 0.0-10.0 498810880 398953832 0.0-10.0 12487650 9982253 0.030 1 8494 1
2010-12-12 23:25:55.283283 0 1 i-1488be79 i-1688be7b 0.0-10.0 568483840 454226102 0.0-10.0 12502350 9999996 0.071 0 8504 1
2010-12-12 23:26:22.185374 1 0 i-1688be7b i-1488be79 0.0-10.0 486645760 389147717 0.0-10.0 12493530 9990438 0.027 3 8498 4
2010-12-12 23:26:48.820015 0 1 i-1488be79 i-1688be7b 0.0-10.0 523264000 418147850 0.0-10.0 12436200 9944999 0.027 4 8459 5
2010-12-12 23:27:15.379379 1 0 i-1688be7b i-1488be79 0.0-10.0 522493952 417783428 0.0-10.0 12502350 9999993 0.035 4 8504 5
2010-12-12 23:27:41.972216 0 1 i-1488be79 i-1688be7b 0.0-10.0 512507904 409678170 0.0-10.0 12496470 9991221 1.422 11 8500 11
2010-12-12 23:28:08.435779 1 0 i-1688be7b i-1488be79 0.0-10.0 501743616 401113752 0.0-10.0 12475890 9980542 0.032 6 8486 7
2010-12-12 23:28:34.518014 0 1 i-1488be79 i-1688be7b 0.0-10.0 487645184 389468966 0.0-10.0 12502350 9999994 0.054 0 8504 1
2010-12-12 23:29:00.423515 1 0 i-1688be7b i-1488be79 0.0-10.0 710918144 566042811 0.0-10.0 12480300 9981830 0.043 0 8489 1
2010-12-12 23:29:26.103475 0 1 i-1488be79 i-1688be7b 0.0-10.0 499064832 398840581 0.0-10.0 12497940 9982027 0.124 2 8501 4
2010-12-12 23:29:51.519495 1 0 i-1688be7b i-1488be79 0.0-10.0 769769472 615440097 0.0-10.0 12502350 9999994 0.066 0 8504 1
2010-12-12 23:30:22.221512 0 1 i-1488be79 i-1688be7b 0.0-10.0 547299328 437758477 0.0-10.0 12477360 9981644 0.030 5 8487 6
2010-12-12 23:30:47.983286 1 0 i-1688be7b i-1488be79 0.0-10.0 699342848 558352715 0.0-10.0 12502350 9999994 0.035 1 8504 1
2010-12-12 23:31:13.642899 0 1 i-1488be79 i-1688be7b 0.0-10.0 627630080 502019523 0.0-10.0 12440610 9951193 0.025 0 8462 1
2010-12-12 23:31:39.394327 1 0 i-1688be7b i-1488be79 0.0-10.1 711139328 562092493 0.0-10.0 12502350 9999994 0.025 4 8504 5
2010-12-12 23:32:05.058650 0 1 i-1488be79 i-1688be7b 0.0-10.0 535789568 427519164 0.0-10.0 12496470 9992695 0.070 12 8500 6
2010-12-12 23:32:30.738514 1 0 i-1688be7b i-1488be79 0.0-10.0 742776832 593362810 0.0-10.0 12480300 9981827 0.039 0 8489 1
2010-12-12 23:32:56.684528 0 1 i-1488be79 i-1688be7b 0.0-10.0 458629120 365628969 0.0-10.0 12484710 9951876 0.019 2 8492 9
2010-12-12 23:33:22.226906 1 0 i-1688be7b i-1488be79 0.0-10.0 578813952 462667702 0.0-10.0 12489120 9979917 1.176 6 8495 6
2010-12-12 23:33:47.756327 0 1 i-1488be79 i-1688be7b 0.0-10.0 552755200 442187003 0.0-10.0 12450900 9946064 0.023 3 8469 4
2010-12-12 23:34:13.315115 1 0 i-1688be7b i-1488be79 0.0-10.0 541827072 432786208 0.0-10.0 12502350 9999994 0.058 21 8504 1
2010-12-12 23:34:38.857506 0 1 i-1488be79 i-1688be7b 0.0-10.0 569614336 455351685 0.0-10.0 12502350 9999996 0.059 0 8504 1
2010-12-12 23:35:04.428862 1 0 i-1688be7b i-1488be79 0.0-10.0 555311104 442905462 0.0-10.0 12499410 9989599 0.052 0 8502 1
2010-12-12 23:35:30.004526 0 1 i-1488be79 i-1688be7b 0.0-10.0 439730176 351739153 0.0-10.0 12495000 9982232 0.284 1 8499 1
2010-12-12 23:35:55.665330 1 0 i-1688be7b i-1488be79 0.0-10.0 776855552 620661878 0.0-10.0 12481770 9977834 0.045 0 8490 1
2010-12-12 23:36:21.230287 0 1 i-1488be79 i-1688be7b 0.0-10.0 520855552 416313423 0.0-10.0 12502350 9999996 0.040 16 8504 16
2010-12-12 23:36:46.675003 1 0 i-1688be7b i-1488be79 0.0-10.0 743686144 594580929 0.0-10.0 12502350 9999996 0.038 4 8504 5
2010-12-13 02:48:12.125188 0 1 i-1488be79 i-1688be7b 0.0-10.0 692756480 553535793 0.0-10.0 12502350 9999995 0.026 3 8504 4
2010-12-13 02:49:19.768328 0 1 i-1488be79 i-1688be7b 0.0-10.0 555393024 443765171 0.0-10.0 12487650 9981196 0.034 2 8494 3
2010-12-13 02:49:44.842772 1 0 i-1688be7b i-1488be79 0.0-10.0 758464512 606226551 0.0-10.0 12475890 9973377 0.027 0 8486 1
2010-12-13 02:50:09.506932 0 1 i-1488be79 i-1688be7b 0.0-10.0 596238336 476447566 0.0-10.0 12483240 9981907 0.047 9 8491 10
2010-12-13 02:50:34.130546 1 0 i-1688be7b i-1488be79 0.0-10.0 742768640 592847213 0.0-10.0 12502350 9981794 0.027 4 8504 5
2010-12-13 02:50:59.076297 0 1 i-1488be79 i-1688be7b 0.0-10.0 653312000 522095395 0.0-10.0 12439140 9951180 0.021 0 8461 1
2010-12-13 02:51:23.557000 1 0 i-1688be7b i-1488be79 0.0-10.0 567287808 453510430 0.0-10.0 12499410 9991767 0.028 1 8502 2
2010-12-13 02:51:48.895413 0 1 i-1488be79 i-1688be7b 0.0-10.0 606339072 484486095 0.0-10.0 12502350 9999994 0.048 0 8504 1
2010-12-13 02:52:14.234850 1 0 i-1688be7b i-1488be79 0.0-10.0 565002240 451762132 0.0-10.0 12502350 9992013 0.035 11 8504 12
2010-12-13 02:52:39.543236 0 1 i-1488be79 i-1688be7b 0.0-10.0 572325888 456971808 0.0-10.0 12484710 9983848 0.037 1 8492 2
2010-12-13 02:53:04.911737 1 0 i-1688be7b i-1488be79 0.0-10.0 719585280 575425912 0.0-10.0 12502350 9999989 0.039 5 8504 6
2010-12-13 02:53:30.372302 0 1 i-1488be79 i-1688be7b 0.0-10.0 623542272 498030096 0.0-10.0 12499410 9979767 0.258 0 8502 1
2010-12-13 02:54:00.655152 1 0 i-1688be7b i-1488be79 0.0-10.0 661848064 528977139 0.0-10.0 12502350 9990305 0.041 0 8505 0
2010-12-13 02:54:25.982462 0 1 i-1488be79 i-1688be7b 0.0-10.0 603267072 482163268 0.0-10.0 12502350 9999996 0.028 0 8504 1
2010-12-13 02:54:51.335704 1 0 i-1688be7b i-1488be79 0.0-10.0 648019968 517676576 0.0-10.0 12492060 9978117 1.427 0 8497 1
2010-12-13 02:55:16.641170 0 1 i-1488be79 i-1688be7b 0.0-10.0 654114816 523067770 0.0-10.0 12492060 9952271 0.068 0 8497 1
2010-12-13 02:55:41.892914 1 0 i-1688be7b i-1488be79 0.0-10.0 618643456 494634554 0.0-10.0 12502350 9990896 1.888 0 8505 0
2010-12-13 02:56:07.382321 0 1 i-1488be79 i-1688be7b 0.0-10.0 599425024 478020964 0.0-10.0 12502350 9981272 0.046 0 8504 1
2010-12-13 02:56:32.809871 1 0 i-1688be7b i-1488be79 0.0-10.0 539926528 431874065 0.0-10.0 12455310 9950719 0.035 12 8472 13
2010-12-13 02:56:58.148663 0 1 i-1488be79 i-1688be7b 0.0-10.0 568033280 453946122 0.0-10.0 12468540 9948781 0.063 0 8481 1
2010-12-13 02:57:23.406926 1 0 i-1688be7b i-1488be79 0.0-10.0 688095232 549922798 0.0-10.0 12480300 9980646 0.039 0 8489 1
2010-12-13 02:57:48.777061 0 1 i-1488be79 i-1688be7b 0.0-10.0 609386496 487162385 0.0-10.0 12499410 9984063 0.032 0 8502 1
2010-12-13 02:58:14.172187 1 0 i-1688be7b i-1488be79 0.0-10.0 744947712 595546944 0.0-10.0 12502350 9999994 0.079 4 8504 5
2010-12-13 02:58:39.534324 0 1 i-1488be79 i-1688be7b 0.0-10.0 581476352 464843883 0.0-10.0 12450900 9952721 0.029 5 8469 6
2010-12-13 02:59:04.889719 1 0 i-1688be7b i-1488be79 0.0-10.0 731709440 584955158 0.0-10.0 12502350 9999994 0.043 3 8504 4
2010-12-13 02:59:30.223559 0 1 i-1488be79 i-1688be7b 0.0-10.0 588341248 470171983 0.0-10.0 12499410 9991354 0.028 0 8502 1
2010-12-13 02:59:55.618165 1 0 i-1688be7b i-1488be79 0.0-10.0 826253312 660495059 0.0-10.0 12502350 9999994 0.031 9 8504 10
2010-12-13 03:00:20.983862 0 1 i-1488be79 i-1688be7b 0.0-10.0 579379200 463408824 0.0-10.0 12502350 9999996 0.028 4 8504 5
2010-12-13 03:00:46.443250 1 0 i-1688be7b i-1488be79 0.0-10.0 582189056 465553338 0.0-10.0 12502350 9999995 0.032 4 8504 5
2010-12-13 03:01:11.805419 0 1 i-1488be79 i-1688be7b 0.0-10.0 615481344 492271754 0.0-10.0 12502350 9999996 0.025 4 8504 5
2010-12-13 03:01:37.082132 1 0 i-1688be7b i-1488be79 0.0-10.0 632848384 504814140 0.0-10.0 12502350 9981568 0.121 0 8504 1
