date time client_id server_id client_uqid server_uqid hop_count
2010-12-12 22:34:40.202939 1 0 i-1688be7b i-1488be79 4
2010-12-12 22:35:06.512848 0 1 i-1488be79 i-1688be7b 4
2010-12-12 22:35:32.895422 1 0 i-1688be7b i-1488be79 4
2010-12-12 22:35:59.025836 0 1 i-1488be79 i-1688be7b 4
2010-12-12 22:36:24.469318 1 0 i-1688be7b i-1488be79 4
2010-12-12 22:36:50.170769 0 1 i-1488be79 i-1688be7b 4
2010-12-12 22:37:15.961408 1 0 i-1688be7b i-1488be79 4
2010-12-12 22:37:41.561319 0 1 i-1488be79 i-1688be7b 4
2010-12-12 22:38:07.280130 1 0 i-1688be7b i-1488be79 4
2010-12-12 22:38:37.817062 0 1 i-1488be79 i-1688be7b 4
2010-12-12 22:39:03.306557 1 0 i-1688be7b i-1488be79 4
2010-12-12 22:39:28.663194 0 1 i-1488be79 i-1688be7b 4
2010-12-12 22:39:54.112213 1 0 i-1688be7b i-1488be79 4
2010-12-12 22:40:19.624981 0 1 i-1488be79 i-1688be7b 4
2010-12-12 22:40:45.149485 1 0 i-1688be7b i-1488be79 4
2010-12-12 22:41:10.677625 0 1 i-1488be79 i-1688be7b 4
2010-12-12 22:41:36.071276 1 0 i-1688be7b i-1488be79 4
2010-12-12 22:42:01.471085 0 1 i-1488be79 i-1688be7b 4
2010-12-12 22:42:27.130488 1 0 i-1688be7b i-1488be79 4
2010-12-12 22:42:52.625514 0 1 i-1488be79 i-1688be7b 4
2010-12-12 22:43:18.224457 1 0 i-1688be7b i-1488be79 4
2010-12-12 22:43:43.675012 0 1 i-1488be79 i-1688be7b 4
2010-12-12 22:44:09.116251 1 0 i-1688be7b i-1488be79 4
2010-12-12 22:44:34.586003 0 1 i-1488be79 i-1688be7b 4
2010-12-12 22:45:00.247305 1 0 i-1688be7b i-1488be79 4
2010-12-12 23:19:36.946175 0 1 i-1488be79 i-1688be7b 4
2010-12-12 23:20:04.650355 1 0 i-1688be7b i-1488be79 4
2010-12-12 23:20:32.203990 0 1 i-1488be79 i-1688be7b 4
2010-12-12 23:21:00.355502 1 0 i-1688be7b i-1488be79 4
2010-12-12 23:21:28.508941 0 1 i-1488be79 i-1688be7b 4
2010-12-12 23:21:56.569300 1 0 i-1688be7b i-1488be79 4
2010-12-12 23:22:24.435775 0 1 i-1488be79 i-1688be7b 4
2010-12-12 23:22:52.277167 1 0 i-1688be7b i-1488be79 4
2010-12-12 23:23:20.259911 0 1 i-1488be79 i-1688be7b 4
2010-12-12 23:23:47.471821 1 0 i-1688be7b i-1488be79 4
2010-12-12 23:24:13.262438 0 1 i-1488be79 i-1688be7b 4
2010-12-12 23:24:39.078978 1 0 i-1688be7b i-1488be79 4
