date time client_id server_id client_uqid server_uqid rtt
2010-12-12 22:43:42.574825 0 1 i-1488be79 i-1688be7b 0.555
2010-12-12 22:44:08.043297 1 0 i-1688be7b i-1488be79 25.1
2010-12-12 22:44:33.430290 0 1 i-1488be79 i-1688be7b 0.674
2010-12-12 22:44:59.027828 1 0 i-1688be7b i-1488be79 27.3
2010-12-12 23:19:35.341960 0 1 i-1488be79 i-1688be7b 0.570
2010-12-12 23:20:02.920995 1 0 i-1688be7b i-1488be79 0.517
2010-12-12 23:20:30.399990 0 1 i-1488be79 i-1688be7b 22.2
2010-12-12 23:20:58.532174 1 0 i-1688be7b i-1488be79 0.566
2010-12-12 23:21:26.714284 0 1 i-1488be79 i-1688be7b 24.7
2010-12-12 23:21:54.702108 1 0 i-1688be7b i-1488be79 4.69
2010-12-12 23:22:22.767281 0 1 i-1488be79 i-1688be7b 0.616
2010-12-12 23:22:50.516826 1 0 i-1688be7b i-1488be79 0.560
2010-12-12 23:23:18.563796 0 1 i-1488be79 i-1688be7b 0.495
2010-12-12 23:23:46.017717 1 0 i-1688be7b i-1488be79 0.635
2010-12-12 23:24:12.133274 0 1 i-1488be79 i-1688be7b 0.552
2010-12-12 23:24:37.893168 1 0 i-1688be7b i-1488be79 0.518
2010-12-12 23:25:04.141859 0 1 i-1488be79 i-1688be7b 0.608
2010-12-12 23:25:30.878889 1 0 i-1688be7b i-1488be79 0.612
2010-12-12 23:25:57.815245 0 1 i-1488be79 i-1688be7b 20.0
2010-12-12 23:26:24.541842 1 0 i-1688be7b i-1488be79 0.608
2010-12-12 23:26:51.219832 0 1 i-1488be79 i-1688be7b 0.700
2010-12-12 23:27:17.749948 1 0 i-1688be7b i-1488be79 0.574
2010-12-12 23:27:44.279002 0 1 i-1488be79 i-1688be7b 0.669
2010-12-12 23:28:10.668836 1 0 i-1688be7b i-1488be79 0.550
2010-12-12 23:28:36.616537 0 1 i-1488be79 i-1688be7b 0.589
2010-12-12 23:29:02.608723 1 0 i-1688be7b i-1488be79 0.565
2010-12-12 23:29:28.180040 0 1 i-1488be79 i-1688be7b 0.542
2010-12-12 23:29:53.675379 1 0 i-1688be7b i-1488be79 0.524
2010-12-12 23:30:24.358514 0 1 i-1488be79 i-1688be7b 0.637
2010-12-12 23:30:50.133330 1 0 i-1688be7b i-1488be79 0.526
2010-12-12 23:31:15.741476 0 1 i-1488be79 i-1688be7b 0.523
2010-12-12 23:31:41.539567 1 0 i-1688be7b i-1488be79 0.604
2010-12-12 23:32:07.210686 0 1 i-1488be79 i-1688be7b 0.556
2010-12-12 23:32:33.057874 1 0 i-1688be7b i-1488be79 22.0
2010-12-12 23:32:58.792363 0 1 i-1488be79 i-1688be7b 0.515
2010-12-12 23:33:24.352326 1 0 i-1688be7b i-1488be79 0.578
2010-12-12 23:33:49.864961 0 1 i-1488be79 i-1688be7b 0.541
2010-12-12 23:34:15.430970 1 0 i-1688be7b i-1488be79 0.564
2010-12-12 23:34:40.993914 0 1 i-1488be79 i-1688be7b 20.0
2010-12-12 23:35:06.610830 1 0 i-1688be7b i-1488be79 0.558
2010-12-12 23:35:32.191659 0 1 i-1488be79 i-1688be7b 0.613
2010-12-12 23:35:57.843444 1 0 i-1688be7b i-1488be79 0.535
2010-12-12 23:36:23.329558 0 1 i-1488be79 i-1688be7b 0.553
2010-12-12 23:36:48.809671 1 0 i-1688be7b i-1488be79 20.1
2010-12-13 02:48:13.843411 0 1 i-1488be79 i-1688be7b 19.6
2010-12-13 02:49:21.438684 0 1 i-1488be79 i-1688be7b 0.664
2010-12-13 02:49:46.924303 1 0 i-1688be7b i-1488be79 0.525
2010-12-13 02:50:11.175243 0 1 i-1488be79 i-1688be7b 0.568
2010-12-13 02:50:36.206431 1 0 i-1688be7b i-1488be79 2.07
2010-12-13 02:51:00.755883 0 1 i-1488be79 i-1688be7b 0.446
2010-12-13 02:51:25.643945 1 0 i-1688be7b i-1488be79 0.575
2010-12-13 02:51:50.984227 0 1 i-1488be79 i-1688be7b 18.5
2010-12-13 02:52:16.258294 1 0 i-1688be7b i-1488be79 0.625
2010-12-13 02:52:41.566498 0 1 i-1488be79 i-1688be7b 0.530
2010-12-13 02:53:06.979850 1 0 i-1688be7b i-1488be79 0.934
2010-12-13 02:53:32.416680 0 1 i-1488be79 i-1688be7b 0.583
2010-12-13 02:54:02.679899 1 0 i-1688be7b i-1488be79 0.464
2010-12-13 02:54:28.070137 0 1 i-1488be79 i-1688be7b 0.580
2010-12-13 02:54:53.422713 1 0 i-1688be7b i-1488be79 0.486
2010-12-13 02:55:18.635053 0 1 i-1488be79 i-1688be7b 19.9
2010-12-13 02:55:43.958919 1 0 i-1688be7b i-1488be79 0.580
2010-12-13 02:56:09.477095 0 1 i-1488be79 i-1688be7b 0.522
2010-12-13 02:56:34.875849 1 0 i-1688be7b i-1488be79 0.442
2010-12-13 02:57:00.179568 0 1 i-1488be79 i-1688be7b 0.496
2010-12-13 02:57:25.514689 1 0 i-1688be7b i-1488be79 0.678
2010-12-13 02:57:50.807917 0 1 i-1488be79 i-1688be7b 0.552
2010-12-13 02:58:16.242832 1 0 i-1688be7b i-1488be79 0.619
2010-12-13 02:58:41.596208 0 1 i-1488be79 i-1688be7b 0.561
2010-12-13 02:59:06.970022 1 0 i-1688be7b i-1488be79 0.679
2010-12-13 02:59:32.300840 0 1 i-1488be79 i-1688be7b 0.507
2010-12-13 02:59:57.673833 1 0 i-1688be7b i-1488be79 22.5
2010-12-13 03:00:23.092154 0 1 i-1488be79 i-1688be7b 0.524
2010-12-13 03:00:48.509481 1 0 i-1688be7b i-1488be79 0.581
2010-12-13 03:01:13.886513 0 1 i-1488be79 i-1688be7b 20.1
2010-12-13 03:01:39.090264 1 0 i-1688be7b i-1488be79 0.548
2010-12-13 03:02:05.016903 0 1 i-1488be79 i-1688be7b 1.32
2010-12-13 03:02:30.532612 1 0 i-1688be7b i-1488be79 0.530
2010-12-13 03:02:55.847241 0 1 i-1488be79 i-1688be7b 0.600
